product_name,brand,wood,ken_weight_g,tama_weight_g,price,currency,purchased_date,purchased_from,order_id,event,prize,kendama,ken_only,tama_only,other,comment
Infinity Blue,Mugen Musou,,,,11000.0,JPY,2023-07-30,KWC Booth,,KWC 2023,False,True,False,False,False,
Blue-Silver Ozora,Ozora Kendama,,,,3000.0,JPY,2023-07-30,KWC Booth,,KWC 2023,False,True,False,False,False,
Krom Pop - Black,Krom Kendama,,,,3800.0,JPY,2023-07-30,KWC Booth,,KWC 2023,False,True,False,False,False,
Basic Beech - Nemus Shape,Terra Kendama,Beech,,,29.99,CAD,2023-05-05,Terra,#11131,,False,True,False,False,False,
Limited Edition - Sakura - Prefect,Terra Kendama,Sakura,,,35.99,CAD,2022-11-26,Terra,#10690,,False,True,False,False,False,tax: 4.32
Dark Gray REVO Tama,Okendama,Ash,,77.0,37.99,USD,2023-09-12,Kendama depot,#8774,,False,False,False,True,False,shipping: 14.96
Maple 1UP Ken,Sol Kendama,Maple,77.0,,23.99,USD,2023-09-12,Kendama depot,#8774,,False,False,True,False,False,orderID: 8774
Purple Rain,Sweets Kendama,,,,940.0,TWD,2024-05-06,Wooda,,,False,True,False,False,False,
Unknown,Sweets Kendama,,,,850.0,TWD,2024-06-20,Wooda,,,False,False,True,False,False,
Mini Metal - Silver,Krom Kendama,,,,1600.0,TWD,2024-05-07,Wooda,,,False,True,False,False,False,
Hog BOL Collab,Kendama Israel,,86.0,88.0,90.31,CAD,2024-06-27,Kendama depot,#11860,,False,True,False,False,False,shipping: 23.18
Jerry,Roddama,,86.3,,250.0,CAD,2024-07-09,Rod,,,False,False,True,False,False,White Oak and Black Walnut with Maple and Cedar accents
Light Blue / Gray Ikigai,Kendama Israel,Beech,,88.0,73.34,CAD,2024-07-10,Kendama depot,#12019,,False,False,False,True,False,shipping: 22.78
Wine Hornbeam Line Tama,Da Originz,,,87.0,44.2,CAD,2024-07-10,Kendama depot,#12021,,False,False,False,True,False,Rubbah; shipped w/ #12019
Sol x DAO,Da Originz,Beech/Maple,,,117.0,CAD,2024-09-01,Sol Kendama,#27659,,False,True,False,False,False,"shipping: 13
DAO 62mm Raptor Clear Austrian Beech Tama
Sol 2UP Shape Maple Ken"
Mycena (rosewood) Beeswax- Mushroom,Analog Kendama,Rosewood,,,38.99,USD,2024-08-29,Analog Kendama,#VXIE-463057,,False,False,False,False,True,shipping: 10
Sweets Fuzzy - Blue,Sweets Kendama,,,,33.99,USD,2024-11-29,Sweets Kendama,#127573,,False,True,False,False,False,shipping: 34.85; discount: 15.94; custom: 35.59 CAD
KENGO KAWAMURA - PRO MODEL - LEGEND SHAPE,Sweets Kendama,,,,64.99,USD,2024-11-29,Sweets Kendama,#127573,,False,True,False,False,False,Cushion Clear; shipping: 34.85; discount: 15.94; custom: 35.59 CAD
Year of the snake - 2025,Ozora Kendama,,,,3520.0,JPY,2025-01-01,,,,False,True,False,False,False,Pending
ALLY Summer Series,High Ball Kendama,,,,60.0,CAD,2024-10-19,,,Van Jam 2024,True,True,False,False,False,given by Max Angel
Kendama Plushie,Deal With It,,,,25.0,CAD,2024-10-19,,,Van Jam 2024,True,False,False,False,True,Casual Champion
improv3,Hound Kendama,,,,55.0,CAD,2024-10-19,,,Van Jam 2024,True,True,False,False,False,Casual Champion
Rein,Roddama,Purpleheart,106.89,,250.0,CAD,2024-10-19,,,Van Jam 2024,True,False,True,False,False,Casual Champion
GT Half Cap,Grain Theory,,,,50.0,CAD,2024-10-19,,,Van Jam 2024,True,False,False,False,True,Casual Champion
AE Pro Mod,Grain Theory,Beech,,,49.0,CAD,2024-10-19,,,Van Jam 2024,True,False,True,False,False,Casual Champion
Kaizen Dart Jet Shape,Kendama USA,,,,63.0,CAD,2024-10-19,,,Van Jam 2024,True,True,False,False,False,Casual Champion
Van Jam 10 - Missu Champion mod,Terra Kendama,,,,60.0,CAD,2024-10-19,,,Van Jam 2024,True,True,False,False,False,Casual Champion
Rage Mode Tee,Rage Quit Apperal,,,,40.0,CAD,2024-10-19,,,Van Jam 2024,True,False,False,False,True,Casual Champion
Cap,Redecan,,,,20.0,CAD,2024-10-19,,,Van Jam 2024,True,False,False,False,True,Casual Champion
6 Juggling Balls,,,,120.0,59.98,CAD,2024-07-06,Amazon,,,False,False,False,False,True,TD reward points
LED Juggling Balls,,,,,78.39,CAD,2024-09-14,Amazon,,,False,False,False,False,True,TD reward points
Veronica,Roddama,,85.7,,250.0,CAD,2025-05-06,Rod,,,False,False,True,False,False,Beech/Walnut/Ash/Birch
Not For Sale 1+D,Krom Kendama,,,,40.0,CAD,2025-07-19,Van Jam Booth,,Van Jam 2025,False,False,False,True,False,
Terra x Originz Van Jam tama,Terra Kendama,,,,70.0,CAD,2025-07-19,Van Jam Booth,,Van Jam 2025,False,False,False,True,False,
Standard - Blue,Terra Kendama,,,,35.0,CAD,2025-07-19,Van Jam Booth,,Van Jam 2025,False,True,False,False,False,
Ken Only,Occult Kendama,,,,30.0,CAD,2025-07-19,Van Jam Booth,,Van Jam 2025,False,False,True,False,False,
Ken Only - Splice,Occult Kendama,,,,40.0,CAD,2025-07-19,Van Jam Booth,,Van Jam 2025,False,False,True,False,False,
Slay Dog 4,Krom Kendama,,,,82.0,CAD,2025-07-19,Van Jam Booth,,Van Jam 2025,False,True,False,False,False,
pdox Brown/White OG Logo t-shirt,,,,,30.0,USD,2025-07-19,,,Van Jam 2025,True,False,False,False,True,Casual Champion
Daisy,Roddama,,90.27,,250.0,CAD,2025-07-19,,,Van Jam 2025,True,False,True,False,False,Casual Champion
NAKO swag bag,Sweets Kendama,,,,50.0,USD,2025-07-19,,,Van Jam 2025,True,False,False,False,True,Casual Champion
AM kendama - Red,Time Kendama,,,,40.0,CAD,2025-07-19,,,Van Jam 2025,True,True,False,False,False,Gifted by Time Kendama
Unknown,Da Originz,,,,,EUR,2025-07-19,,,Van Jam 2025,True,True,False,False,False,Casual Champion
1 Up Jumbo,Sol Kendama,,,,60.0,USD,2025-07-19,,,Van Jam 2025,True,True,False,False,False,Casual Champion
Mini Everyman Sport Begleri - Titanium Edition,Around Square,,,,70.0,CAD,2025-07-19,,,Van Jam 2025,True,False,False,False,True,Casual Champion
MKUltras - 8mm Beads Standard Metal Edition,Around Square,,,,140.0,CAD,2025-07-19,,,Van Jam 2025,True,False,False,False,True,Casual Champion
Knucklebone - Smalls Titanium Edition,Around Square,,,,63.0,CAD,2025-07-19,,,Van Jam 2025,True,False,False,False,True,Casual Champion
Natty Beech Trip Stripe,Kendama depot,,,87.0,21.32,CAD,2025-11-06,,,,False,False,False,True,False,
Natty Maple,Kendama depot,,,84.0,21.32,CAD,2025-11-06,Kendama depot,,,False,False,False,True,False,
浮生 X 2000s 聯名劍玉｜原木霧面劍玉,浮生,,,,1500.0,TWD,2025-09-20,South Kendama,#6002,,False,True,False,False,False,
Ozora Reshape 5 - Blue,Ozora Kendama,,,,1500.0,TWD,2025-12-17,South Kendama,,,False,True,False,False,False,
